"Model Name","Provider","Type","Intelligence Score","Speed (tok/s)","Cost ($/1k tok)","Context Window","Status","Confidence","Last Updated"
"GPT-4o (2024-08-06)","OpenAI","LLM","92.3","45.2","$0.015","128,000","Active","98%","2025-07-31"
"Claude 3.5 Sonnet","Anthropic","LLM","94.1","52.8","$0.015","200,000","Active","99%","2025-07-31"
"Gemini 2.0 Flash Exp","Google","LLM","89.7","78.3","Free","1,000,000","Experimental","85%","2025-07-31"
"GPT-4 Turbo","OpenAI","LLM","91.8","42.1","$0.010","128,000","Active","96%","2025-07-31"
"Claude 3 Opus","Anthropic","LLM","93.7","38.9","$0.075","200,000","Active","98%","2025-07-31"
"Llama 3.1 405B","Meta","LLM","87.9","23.4","Open Source","128,000","Active","92%","2025-07-31"
"DALL-E 3","OpenAI","Image Gen","88.5","N/A","$0.040/image","N/A","Active","94%","2025-07-31"
"Midjourney v6","Midjourney","Image Gen","91.2","N/A","$10/month","N/A","Active","97%","2025-07-31"
"Whisper Large v3","OpenAI","Speech-to-Text","95.1","16x realtime","$0.006/min","N/A","Active","99%","2025-07-31"
"Stable Diffusion XL","Stability AI","Image Gen","85.3","N/A","Open Source","N/A","Active","90%","2025-07-31"
