model_name,provider,original_provider,context_window,input_price_per_million_tokens,output_price_per_million_tokens,modality,release_date
jamba-large-1.7-2025-07,AI21,ai21,256000,null,null,null,null
jamba-mini-1.7-2025-07,AI21,ai21,256000,null,null,null,null
jamba-large-1.6-2025-03,AI21,ai21,256000,null,null,null,null
jamba-mini-1.6-2025-03,AI21,ai21,256000,null,null,null,null
embed-english-light-v3.0,Cohere,Cohere,512,null,null,text,null
embed-multilingual-v2.0,Cohere,Cohere,256,null,null,text,null
rerank-v3.5,Cohere,Cohere,4096,null,null,text,null
command-r-08-2024,Cohere,Cohere,132096,null,null,text,null
command-r-plus-08-2024,Cohere,Cohere,132096,null,null,text,null
embed-v4.0,Cohere,Cohere,8192,null,null,text,null
rerank-english-v3.0,Cohere,Cohere,4096,null,null,text,null
command-nightly,Cohere,Cohere,288000,null,null,text,null
command-a-03-2025,Cohere,Cohere,288000,null,null,text,null
embed-english-light-v3.0-image,Cohere,Cohere,null,null,null,text,null
command-r,Cohere,Cohere,132096,null,null,text,null
embed-english-v3.0-image,Cohere,Cohere,null,null,null,text,null
command-a-vision-07-2025,Cohere,Cohere,128000,null,null,vision,null
c4ai-aya-vision-32b,Cohere,Cohere,16384,null,null,vision,null
command-r7b-arabic-02-2025,Cohere,Cohere,128000,null,null,text,null
command-light-nightly,Cohere,Cohere,4096,null,null,text,null
embed-english-v3.0,Cohere,Cohere,512,null,null,text,null
command-r7b-12-2024,Cohere,Cohere,132000,null,null,text,null
embed-multilingual-light-v3.0-image,Cohere,Cohere,null,null,null,text,null
embed-multilingual-v3.0-image,Cohere,Cohere,null,null,null,text,null
c4ai-aya-expanse-32b,Cohere,Cohere,128000,null,null,text,null
models/embedding-gecko-001,Google AI,Google,1024,null,null,text,null
models/gemini-1.5-pro-latest,Google AI,Google,2000000,null,null,multimodal,null
models/gemini-1.5-pro-002,Google AI,Google,2000000,null,null,multimodal,2024-09-01
models/gemini-1.5-pro,Google AI,Google,2000000,null,null,multimodal,2024-05-01
models/gemini-1.5-flash-latest,Google AI,Google,1000000,null,null,multimodal,null
models/gemini-1.5-flash,Google AI,Google,1000000,null,null,multimodal,null
models/gemini-1.5-flash-002,Google AI,Google,1000000,null,null,multimodal,2024-09-01
models/gemini-1.5-flash-8b,Google AI,Google,1000000,null,null,text,2024-10-01
models/gemini-1.5-flash-8b-001,Google AI,Google,1000000,null,null,text,2024-10-01
models/gemini-1.5-flash-8b-latest,Google AI,Google,1000000,null,null,text,2024-10-01
models/gemini-2.5-pro-preview-03-25,Google AI,Google,1048576,null,null,text,null
models/gemini-2.5-flash-preview-05-20,Google AI,Google,1048576,null,null,text,2025-04-17
models/gemini-2.5-flash,Google AI,Google,1048576,null,null,multimodal,2025-06-01
models/gemini-2.5-flash-lite-preview-06-17,Google AI,Google,1048576,null,null,text,2025-06-11
models/gemini-2.5-pro-preview-05-06,Google AI,Google,1048576,null,null,text,2025-05-06
models/gemini-2.5-pro-preview-06-05,Google AI,Google,1048576,null,null,text,2025-06-05
models/gemini-2.5-pro,Google AI,Google,1048576,null,null,text,2025-06-17
models/gemini-2.0-flash-exp,Google AI,Google,1048576,null,null,text,null
models/gemini-2.0-flash,Google AI,Google,1048576,null,null,text,null
models/gemini-2.0-flash-001,Google AI,Google,1048576,null,null,multimodal,2025-01-01
models/gemini-2.0-flash-exp-image-generation,Google AI,Google,1048576,null,null,text,null
models/gemini-2.0-flash-lite-001,Google AI,Google,1048576,null,null,text,null
models/gemini-2.0-flash-lite,Google AI,Google,1048576,null,null,text,null
models/gemini-2.0-flash-preview-image-generation,Google AI,Google,32768,null,null,text,null
