
=== SHEET: HuggingFace ===
category,model_id,model_name,likes,downloads,private,pipeline_tag,library_name,created_at,tags,gated,disabled
text-generation,Falconsai/nsfw_image_detection,Falconsai/nsfw_image_detection,740,112152811,No,image-classification,transformers,2023-10-13T23:50:01.000Z,transformers; pytorch; safetensors; vit; image-classification; arxiv:2010.11929; license:apache-2.0; autotrain_compatible; endpoints_compatible; region:us,No,No
text-generation,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,3721,86493421,No,sentence-similarity,sentence-transformers,2022-03-02T23:29:05.000Z,sentence-transformers; pytorch; tf; rust; onnx; safetensors; openvino; bert; feature-extraction; sentence-similarity; transformers; en; dataset:s2orc; dataset:flax-sentence-embeddings/stackexchange_xml; dataset:ms_marco; dataset:gooaq; dataset:yahoo_answers_topics; dataset:code_search_net; dataset:search_qa; dataset:eli5; dataset:snli; dataset:multi_nli; dataset:wikihow; dataset:natural_questions; dataset:trivia_qa; dataset:embedding-data/sentence-compression; dataset:embedding-data/flickr30k-captions; dataset:embedding-data/altlex; dataset:embedding-data/simple-wiki; dataset:embedding-data/QQP; dataset:embedding-data/SPECTER; dataset:embedding-data/PAQ_pairs; dataset:embedding-data/WikiAnswers; arxiv:1904.06472; arxiv:2102.07033; arxiv:2104.08727; arxiv:1704.05179; arxiv:1810.09305; license:apache-2.0; autotrain_compatible; text-embeddings-inference; endpoints_compatible; region:us,No,No
text-generation,timm/mobilenetv3_small_100.lamb_in1k,timm/mobilenetv3_small_100.lamb_in1k,31,65905134,No,image-classification,timm,2022-12-16T05:38:36.000Z,timm; pytorch; safetensors; image-classification; transformers; dataset:imagenet-1k; arxiv:2110.00476; arxiv:1905.02244; license:apache-2.0; region:us,No,No
text-generation,dima806/fairface_age_image_detection,dima806/fairface_age_image_detection,31,58119967,No,image-classification,transformers,2024-12-06T14:59:20.000Z,transformers; safetensors; vit; image-classification; dataset:nateraw/fairface; base_model:google/vit-base-patch16-224-in21k; base_model:finetune:google/vit-base-patch16-224-in21k; license:apache-2.0; autotrain_compatible; endpoints_compatible; region:us,No,No
text-generation,google-bert/bert-base-uncased,google-bert/bert-base-uncased,2357,56083446,No,fill-mask,transformers,2022-03-02T23:29:04.000Z,transformers; pytorch; tf; jax; rust; coreml; onnx; safetensors; bert; fill-mask; exbert; en; dataset:bookcorpus; dataset:wikipedia; arxiv:1810.04805; license:apache-2.0; autotrain_compatible; endpoints_compatible; region:us,No,No
text-generation,amazon/chronos-t5-small,amazon/chronos-t5-small,117,41020161,No,time-series-forecasting,transformers,2024-02-21T10:06:21.000Z,transformers; safetensors; t5; text2text-generation; time series; forecasting; pretrained models; foundation models; time series foundation models; time-series; time-series-forecasting; arxiv:2403.07815; arxiv:1910.10683; license:apache-2.0; text-generation-inference; endpoints_compatible; region:us,No,No
text-generation,pyannote/wespeaker-voxceleb-resnet34-LM,pyannote/wespeaker-voxceleb-resnet34-LM,62,19838741,No,,pyannote-audio,2023-11-13T15:32:31.000Z,pyannote-audio; pytorch; pyannote; pyannote-audio-model; wespeaker; audio; voice; speech; speaker; speaker-recognition; speaker-verification; speaker-identification; speaker-embedding; dataset:voxceleb; license:cc-by-4.0; region:us,No,No
text-generation,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,1122,18398983,No,sentence-similarity,sentence-transformers,2022-03-02T23:29:05.000Z,sentence-transformers; pytorch; onnx; safetensors; openvino; mpnet; fill-mask; feature-extraction; sentence-similarity; transformers; en; dataset:s2orc; dataset:flax-sentence-embeddings/stackexchange_xml; dataset:ms_marco; dataset:gooaq; dataset:yahoo_answers_topics; dataset:code_search_net; dataset:search_qa; dataset:eli5; dataset:snli; dataset:multi_nli; dataset:wikihow; dataset:natural_questions; dataset:trivia_qa; dataset:embedding-data/sentence-compression; dataset:embedding-data/flickr30k-captions; dataset:embedding-data/altlex; dataset:embedding-data/simple-wiki; dataset:embedding-data/QQP; dataset:embedding-data/SPECTER; dataset:embedding-data/PAQ_pairs; dataset:embedding-data/WikiAnswers; arxiv:1904.06472; arxiv:2102.07033; arxiv:2104.08727; arxiv:1704.05179; arxiv:1810.09305; license:apache-2.0; autotrain_compatible; endpoints_compatible; region:us,No,No
text-generation,openai/clip-vit-base-patch32,openai/clip-vit-base-patch32,731,18356620,No,zero-shot-image-classification,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; jax; clip; zero-shot-image-classification; vision; arxiv:2103.00020; arxiv:1908.04913; endpoints_compatible; region:us,No,No
text-generation,timm/resnet50.a1_in1k,timm/resnet50.a1_in1k,39,18186569,No,image-classification,timm,2023-04-05T18:07:45.000Z,timm; pytorch; safetensors; image-classification; transformers; arxiv:2110.00476; arxiv:1512.03385; license:apache-2.0; region:us,No,No
