"Model Name","Provider","Category","Cost","Context Window","Free Tier","Best For"
"Llama 3.1 8B Instruct","Meta/HuggingFace","Text Generation","Free","128,000","Unlimited","General purpose"
"Llama 3.1 70B Instruct","Meta/HuggingFace","Text Generation","Free","128,000","API access","Complex reasoning"
"Code Llama 7B","Meta/HuggingFace","Code Generation","Free","16,384","Unlimited","Programming"
"Mistral 7B Instruct","Mistral AI","Chat Models","Free","32,768","API access","Conversations"
"Zephyr 7B Beta","HuggingFace","Chat Models","Free","32,768","Unlimited","Helpful assistant"
"Gemini 1.5 Flash","Google","Multimodal","Free (limits)","1,000,000","15 req/min","Fast multimodal"
"Gemini 1.5 Pro","Google","Reasoning","Free (limits)","2,000,000","2 req/min","Complex analysis"
"Mixtral 8x7B","Mistral/OpenRouter","Text Generation","Free","32,768","Free tier","Multilingual"
"Llama 3.1 70B (Groq)","Groq","Text Generation","Free (limits)","131,072","30 req/min","Fast inference"
"DeepSeek Chat","DeepSeek","Chat Models","Free (reg required)","32,000","Free tier","Reasoning & coding"
"DeepSeek Coder","DeepSeek","Code Generation","Free (reg required)","16,000","Free tier","Code generation"
"Llama Sonar Large","Perplexity","Text Generation","Free (reg required)","127,072","Free tier","Web-connected"
"Llama 3.1 8B","Fireworks AI","Text Generation","Free (reg required)","131,072","Free tier","Fast inference"
