name,publisher,country,source,accessType,modelSize,license,releaseDate,sourceUrl,inferenceSupport,capabilities,discoveryTimestamp,validationStatus
"gpt-4","OpenAI","US","Company","Commercial API","Unknown","Proprietary","Unknown","https://platform.openai.com/docs/models","API","Text Generation","2025-07-10T07:11:16.780Z","validated"
"gpt-4-turbo","OpenAI","US","Company","Commercial API","Unknown","Proprietary","Unknown","https://platform.openai.com/docs/models","API","Text Generation","2025-07-10T07:11:16.781Z","validated"
"gpt-3.5-turbo","OpenAI","US","Company","Commercial API","Unknown","Proprietary","Unknown","https://platform.openai.com/docs/models","API","Text Generation","2025-07-10T07:11:16.781Z","validated"
"gpt-4o","OpenAI","US","Company","Commercial API","Unknown","Proprietary","Unknown","https://platform.openai.com/docs/models","API","Text Generation","2025-07-10T07:11:16.781Z","validated"
"gpt-4o-mini","OpenAI","US","Company","Commercial API","Unknown","Proprietary","Unknown","https://platform.openai.com/docs/models","API","Text Generation","2025-07-10T07:11:16.781Z","validated"
"claude-3-opus","Anthropic","US","Company","Commercial API","Unknown","Proprietary","Unknown","https://docs.anthropic.com/claude/docs/models-overview","API","Text Generation","2025-07-10T07:11:16.781Z","validated"
"claude-3-sonnet","Anthropic","US","Company","Commercial API","Unknown","Proprietary","Unknown","https://docs.anthropic.com/claude/docs/models-overview","API","Text Generation","2025-07-10T07:11:16.781Z","validated"
"claude-3-haiku","Anthropic","US","Company","Commercial API","Unknown","Proprietary","Unknown","https://docs.anthropic.com/claude/docs/models-overview","API","Text Generation","2025-07-10T07:11:16.781Z","validated"
"claude-3.5-sonnet","Anthropic","US","Company","Commercial API","Unknown","Proprietary","Unknown","https://docs.anthropic.com/claude/docs/models-overview","API","Text Generation","2025-07-10T07:11:16.781Z","validated"
"claude-3.5-haiku","Anthropic","US","Company","Commercial API","Unknown","Proprietary","Unknown","https://docs.anthropic.com/claude/docs/models-overview","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
"gemini-pro","Google","US","Company","Free Tier/Commercial API","Unknown","Apache 2.0/Proprietary","Unknown","https://ai.google.dev/models","API","Text Generation","2025-07-10T07:11:16.782Z","validated"
