name,publisher,country,source,accessType,modelSize,license,releaseDate,sourceUrl,inferenceSupport,capabilities,discoveryTimestamp,validationStatus
Open-Source-LLM-on-qualitative-and-quantitative-data,chenliseu,US,GitHub,Open Source,Unknown,Unknown,2024-09-21T14:37:45Z,https://github.com/chenliseu/Open-Source-LLM-on-qualitative-and-quantitative-data,CPU/GPU,Text Generation,2025-07-10T05:19:13.723Z,validated
Maximuswdmaster/Qwen3-0.6B-Gensyn-Swarm-moist_aquatic_baboon,Maximuswdmaster,US,Hugging Face,Open Source,6B,Unknown,2025-07-10T05:18:45.000Z,https://huggingface.co/Maximuswdmaster/Qwen3-0.6B-Gensyn-Swarm-moist_aquatic_baboon,API/CPU/GPU,Text Generation,2025-07-10T05:19:13.723Z,validated
p2g4ads5/Qwen2.5-0.5B-Gensyn-Swarm-docile_playful_octopus,p2g4ads5,US,Hugging Face,Open Source,5B,Unknown,2025-07-10T05:18:21.000Z,https://huggingface.co/p2g4ads5/Qwen2.5-0.5B-Gensyn-Swarm-docile_playful_octopus,API/CPU/GPU,Text Generation,2025-07-10T05:19:13.723Z,validated
ataj1192/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-elusive_soft_shrimp,ataj1192,US,Hugging Face,Open Source,5B,Unknown,2025-07-10T05:18:17.000Z,https://huggingface.co/ataj1192/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-elusive_soft_shrimp,API/CPU/GPU,Conversational,2025-07-10T05:19:13.723Z,validated
anatolijbatalko/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-thriving_ferocious_mink,anatolijbatalko,US,Hugging Face,Open Source,5B,Unknown,2025-07-10T05:17:49.000Z,https://huggingface.co/anatolijbatalko/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-thriving_ferocious_mink,API/CPU/GPU,Conversational,2025-07-10T05:19:13.723Z,validated
p2g5dolph3/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-peckish_ferocious_rhino,p2g5dolph3,US,Hugging Face,Open Source,5B,Unknown,2025-07-10T05:17:08.000Z,https://huggingface.co/p2g5dolph3/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-peckish_ferocious_rhino,API/CPU/GPU,Conversational,2025-07-10T05:19:13.723Z,validated
MaxVell337/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-flapping_foraging_walrus,MaxVell337,US,Hugging Face,Open Source,5B,Unknown,2025-07-10T05:16:45.000Z,https://huggingface.co/MaxVell337/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-flapping_foraging_walrus,API/CPU/GPU,Conversational,2025-07-10T05:19:13.723Z,validated
meowstronot/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-patterned_ferocious_ox,meowstronot,US,Hugging Face,Open Source,5B,Unknown,2025-07-10T05:16:30.000Z,https://huggingface.co/meowstronot/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-patterned_ferocious_ox,API/CPU/GPU,Conversational,2025-07-10T05:19:13.723Z,validated
Angi54/Qwen3-0.6B-Gensyn-Swarm-lazy_enormous_bobcat,Angi54,US,Hugging Face,Open Source,6B,Unknown,2025-07-10T05:15:10.000Z,https://huggingface.co/Angi54/Qwen3-0.6B-Gensyn-Swarm-lazy_enormous_bobcat,API/CPU/GPU,Text Generation,2025-07-10T05:19:13.723Z,validated
andriuusa/Qwen3-0.6B-Gensyn-Swarm-snappy_whistling_iguana,andriuusa,US,Hugging Face,Open Source,6B,Unknown,2025-07-10T05:14:41.000Z,https://huggingface.co/andriuusa/Qwen3-0.6B-Gensyn-Swarm-snappy_whistling_iguana,API/CPU/GPU,Text Generation,2025-07-10T05:19:13.723Z,validated
Towards Multimodal Understanding via Stable Diffusion as a Task-Aware Feature Extractor,"Vatsal Agarwal, Matthew Gwilliam, Gefen Kohavi, Eshan Verma, Daniel Ulbricht, Abhinav Shrivastava",US,arXiv,Research Paper,Unknown,Academic Use,2025-07-09T17:59:47Z,http://arxiv.org/abs/2507.07106v1,Unknown,Multimodal,2025-07-10T05:19:13.723Z,validated
4KAgent: Agentic Any Image to 4K Super-Resolution,"Yushen Zuo, Qi Zheng, Mingyang Wu, Xinrui Jiang, Renjie Li, Jian Wang, Yide Zhang, Gengchen Mai, Lihong V. Wang, James Zou, Xiaoyu Wang, Ming-Hsuan Yang, Zhengzhong Tu",US,arXiv,Research Paper,4K,Academic Use,2025-07-09T17:59:19Z,http://arxiv.org/abs/2507.07105v1,Unknown,Vision,2025-07-10T05:19:13.723Z,validated
Vision-Language-Vision Auto-Encoder: Scalable Knowledge Distillation from Diffusion Models,"Tiezheng Zhang, Yitong Li, Yu-cheng Chou, Jieneng Chen, Alan Yuille, Chen Wei, Junfei Xiao",US,arXiv,Research Paper,Unknown,Academic Use,2025-07-09T17:59:04Z,http://arxiv.org/abs/2507.07104v1,Unknown,Code Generation; Vision,2025-07-10T05:19:13.723Z,validated
Does Data Scaling Lead to Visual Compositional Generalization?,"Arnas Uselis, Andrea Dittadi, Seong Joon Oh",US,arXiv,Research Paper,Unknown,Academic Use,2025-07-09T17:59:03Z,http://arxiv.org/abs/2507.07102v1,Unknown,Text Generation,2025-07-10T05:19:13.723Z,validated
IceCube population constraints on neutrino emission by Fermi-LAT detected active galactic nuclei,"Sam Hori, Abhishek Desai, Justin Vandenbroucke",US,arXiv,Research Paper,Unknown,Academic Use,2025-07-09T17:53:08Z,http://arxiv.org/abs/2507.07098v1,Unknown,Text Generation,2025-07-10T05:19:13.723Z,validated
Non-Gaussian Phase Transition and Cascade of Instabilities in the Dissipative Quantum Rabi Model,"Mingyu Kang, Yikang Zhang, Kenneth R. Brown, Thomas Barthel",US,arXiv,Research Paper,Unknown,Academic Use,2025-07-09T17:51:20Z,http://arxiv.org/abs/2507.07092v1,Unknown,Text Generation,2025-07-10T05:19:13.723Z,validated
Ray-tracing Fast Radio Bursts Through IllustrisTNG: Cosmological Dispersion Measures from Redshift 0 to 5.5,"Ralf M. Konietzka, Liam Connor, Vadim A. Semenov, Angus Beane, Volker Springel, Lars Hernquist",US,arXiv,Research Paper,Unknown,Academic Use,2025-07-09T17:49:46Z,http://arxiv.org/abs/2507.07090v1,Unknown,Text Generation,2025-07-10T05:19:13.723Z,validated
Lifetime study of the ColdADC for the Deep Underground Neutrino Experiment,"Wenjie Wu, Benjamin Jargowsky, Yiwen Xiao, Alejandro Yankelevich, Jianming Bian, Cheng-Ju Lin, Tarun Prakash, David Christian",US,arXiv,Research Paper,Unknown,Academic Use,2025-07-09T17:47:21Z,http://arxiv.org/abs/2507.07086v1,Unknown,Text Generation,2025-07-10T05:19:13.723Z,validated
Asymmetric two-photon response of an incoherently driven quantum emitter,"Lennart Jehle, Lena M. Hansen, Patrik I. Sund, Thomas W. Sandø, Raphael Joos, Michael Jetter, Simone L. Portalupi, Mathieu Bozzio, Peter Michler, Philip Walther",US,arXiv,Research Paper,Unknown,Academic Use,2025-07-09T17:44:41Z,http://arxiv.org/abs/2507.07082v1,Unknown,Text Generation,2025-07-10T05:19:13.723Z,validated
Evaluating Attribute Confusion in Fashion Text-to-Image Generation,"Ziyue Liu, Federico Girella, Yiming Wang, Davide Talon",US,arXiv,Research Paper,Unknown,Academic Use,2025-07-09T17:38:40Z,http://arxiv.org/abs/2507.07079v1,Unknown,Vision,2025-07-10T05:19:13.723Z,validated
Incremental Averaging Method to Improve Graph-Based Time-Difference-of-Arrival Estimation,"Klaus Brümann, Kouei Yamaoka, Nobutaka Ono, Simon Doclo",US,arXiv,Research Paper,Unknown,Academic Use,2025-07-09T17:47:45Z,http://arxiv.org/abs/2507.07087v1,Unknown,Text Generation,2025-07-10T05:19:13.723Z,validated
Surrogate Model for Heat Transfer Prediction in Impinging Jet Arrays using Dynamic Inlet/Outlet and Flow Rate Control,"Mikael Vaillant, Victor Oliveira Ferreira, Wiebke Mainville, Jean-Michel Lamarre, Vincent Raymond, Moncef Chioua, Bruno Blais",US,arXiv,Research Paper,Unknown,Academic Use,2025-07-09T17:03:54Z,http://arxiv.org/abs/2507.07034v1,Unknown,Text Generation,2025-07-10T05:19:13.723Z,validated
"Pre-Columbian Settlements Shaped Palm Clusters in the Sierra Nevada de Santa Marta, Colombia","Sebastian Fajardo, Sina Mohammadi, Jonas Gregorio de Souza, César Ardila, Alan Tapscott Baltar, Shaddai Heidgen, Maria Isabel Mayorga Hernández, Sylvia Mota de Oliveira, Fernando Montejo, Marco Moderato, Vinicius Peripato, Katy Puche, Carlos Reina, Juan Carlos Vargas, Frank W. Takes, Marco Madella",US,arXiv,Research Paper,Unknown,Academic Use,2025-07-09T15:31:44Z,http://arxiv.org/abs/2507.06949v1,Unknown,Text Generation,2025-07-10T05:19:13.723Z,validated
Nonparametric Bayesian Inference for Stochastic Reaction-Diffusion Equations,"Randolf Altmeyer, Sascha Gaudlitz",US,arXiv,Research Paper,Unknown,Academic Use,2025-07-09T13:58:51Z,http://arxiv.org/abs/2507.06857v1,Unknown,Text Generation,2025-07-10T05:19:13.723Z,validated
DiffSpectra: Molecular Structure Elucidation from Spectra using Diffusion Models,"Liang Wang, Yu Rong, Tingyang Xu, Zhenyi Zhong, Zhiyuan Liu, Pengju Wang, Deli Zhao, Qiang Liu, Shu Wu, Liang Wang",US,arXiv,Research Paper,Unknown,Academic Use,2025-07-09T13:57:20Z,http://arxiv.org/abs/2507.06853v1,Unknown,Text Generation,2025-07-10T05:19:13.723Z,validated
"5C Prompt Contracts: A Minimalist, Creative-Friendly, Token-Efficient Design Framework for Individual and SME LLM Usage",Ugur Ari,US,arXiv,Research Paper,Unknown,Academic Use,2025-07-09T17:07:39Z,http://arxiv.org/abs/2507.07045v1,Unknown,Text Generation,2025-07-10T05:19:13.723Z,validated
"The User-Centric Geo-Experience: An LLM-Powered Framework for Enhanced Planning, Navigation, and Dynamic Adaptation","Jieren Deng, Aleksandar Cvetkovic, Pak Kiu Chung, Dragomir Yankov, Chiqun Zhang",US,arXiv,Research Paper,Unknown,Academic Use,2025-07-09T16:18:09Z,http://arxiv.org/abs/2507.06993v1,Unknown,Text Generation,2025-07-10T05:19:13.723Z,validated
