name,publisher,sourceUrl,releaseDate,accessType,license,inferenceSupport,source,country,modelSize,capabilities,lastUpdated
"Llama 2","Meta","https://github.com/facebookresearch/llama","2023-07-18","Open Source","Custom","CPU/GPU","Fallback Data","US","Unknown",Text Generation,"2025-07-11T06:08:07.339Z"
"GPT4All","Nomic AI","https://github.com/nomic-ai/gpt4all","2023-03-27","Open Source","MIT","CPU","Fallback Data","Unknown","Unknown",Text Generation,"2025-07-11T06:08:07.340Z"
"Vicuna","LMSYS","https://github.com/lm-sys/FastChat","2023-03-30","Open Source","Apache 2.0","CPU/GPU","Fallback Data","Unknown","Unknown",Text Generation,"2025-07-11T06:08:07.340Z"
"Alpaca","Stanford","https://github.com/tatsu-lab/stanford_alpaca","2023-03-13","Open Source","Apache 2.0","CPU/GPU","Fallback Data","Unknown","Unknown",Text Generation,"2025-07-11T06:08:07.340Z"
"Code Llama","Meta","https://github.com/facebookresearch/codellama","2023-08-24","Open Source","Custom","CPU/GPU","Fallback Data","US","Unknown",Code Generation,"2025-07-11T06:08:07.340Z"
"0xtinuviel/AceInstruct-1.5B-Gensyn-Swarm-toothy_crested_snail","0xtinuviel","https://huggingface.co/0xtinuviel/AceInstruct-1.5B-Gensyn-Swarm-toothy_crested_snail","2025-07-11T06:07:52.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.340Z"
"baryen/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-sizable_woolly_fly","baryen","https://huggingface.co/baryen/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-sizable_woolly_fly","2025-07-11T06:07:48.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.340Z"
"Xeil84/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-majestic_bristly_pig","Xeil84","https://huggingface.co/Xeil84/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-majestic_bristly_pig","2025-07-11T06:07:47.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.340Z"
"alsandeer33/Qwen3-0.6B-Gensyn-Swarm-flightless_arctic_kangaroo","alsandeer33","https://huggingface.co/alsandeer33/Qwen3-0.6B-Gensyn-Swarm-flightless_arctic_kangaroo","2025-07-11T06:07:38.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","6B",Text Generation,"2025-07-11T06:08:07.340Z"
"whereisandyk/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-spotted_mimic_panther","whereisandyk","https://huggingface.co/whereisandyk/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-spotted_mimic_panther","2025-07-11T06:07:33.000Z","Open Source","Unknown","API/CPU/GPU","Hugging Face","US","5B",Conversational,"2025-07-11T06:08:07.341Z"
