name,shortName,country,modelSize,sourceUrl,releaseDate,accessType,license,capabilities,lastUpdated
"Llama 2","Llama-2","US","Unknown","https://github.com/facebookresearch/llama","2023-07-18","Open Source","Custom",Text Generation,"2025-07-11T06:25:48.815Z"
"GPT4All","GPT4All","Unknown","Unknown","https://github.com/nomic-ai/gpt4all","2023-03-27","Open Source","MIT",Text Generation,"2025-07-11T06:25:48.816Z"
"Vicuna","Vicuna","Unknown","Unknown","https://github.com/lm-sys/FastChat","2023-03-30","Open Source","Apache 2.0",Text Generation,"2025-07-11T06:25:48.816Z"
"Alpaca","Alpaca","Unknown","Unknown","https://github.com/tatsu-lab/stanford_alpaca","2023-03-13","Open Source","Apache 2.0",Text Generation,"2025-07-11T06:25:48.816Z"
"Code Llama","Code-Llama","US","Unknown","https://github.com/facebookresearch/codellama","2023-08-24","Open Source","Custom",Code Generation,"2025-07-11T06:25:48.816Z"
"Mistral: Devstral Medium","Mistral:-Devstral-Medium","Unknown","Unknown","https://openrouter.ai/docs","2025-07-10","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"Mistral: Devstral Small 1.1","Mistral:-Devstral-Small","Unknown","Unknown","https://openrouter.ai/docs","2025-07-10","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"Mistral: Mistral Small 3.2 24B (free)","Mistral:-Mistral-Small","Unknown","24B","https://openrouter.ai/docs","2025-06-20","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"Mistral: Mistral Small 3.2 24B","Mistral:-Mistral-Small","Unknown","24B","https://openrouter.ai/docs","2025-06-20","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"Mistral: Magistral Small 2506","Mistral:-Magistral-Small","Unknown","Unknown","https://openrouter.ai/docs","2025-06-10","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"Mistral: Magistral Medium 2506","Mistral:-Magistral-Medium","Unknown","Unknown","https://openrouter.ai/docs","2025-06-08","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"Mistral: Magistral Medium 2506 (thinking)","Mistral:-Magistral-Medium","Unknown","Unknown","https://openrouter.ai/docs","2025-06-08","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"Anthropic: Claude Opus 4","Anthropic:-Claude-Opus","Unknown","Unknown","https://openrouter.ai/docs","2025-05-22","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"Anthropic: Claude Sonnet 4","Anthropic:-Claude-Sonnet","Unknown","Unknown","https://openrouter.ai/docs","2025-05-22","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"Mistral: Devstral Small 2505 (free)","Mistral:-Devstral-Small","Unknown","Unknown","https://openrouter.ai/docs","2025-05-21","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"Mistral: Devstral Small 2505","Mistral:-Devstral-Small","Unknown","Unknown","https://openrouter.ai/docs","2025-05-21","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"Mistral: Mistral Medium 3","Mistral:-Mistral-Medium","Unknown","Unknown","https://openrouter.ai/docs","2025-05-07","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"Meta: Llama Guard 4 12B","Meta:-Llama-Guard","Unknown","12B","https://openrouter.ai/docs","2025-04-30","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"Shisa AI: Shisa V2 Llama 3.3 70B  (free)","Shisa-AI:-Shisa","Unknown","70B","https://openrouter.ai/docs","2025-04-15","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"OpenAI: GPT-4.1","OpenAI:-GPT-4.1","Unknown","Unknown","https://openrouter.ai/docs","2025-04-14","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"OpenAI: GPT-4.1 Mini","OpenAI:-GPT-4.1","Unknown","Unknown","https://openrouter.ai/docs","2025-04-14","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"OpenAI: GPT-4.1 Nano","OpenAI:-GPT-4.1","Unknown","Unknown","https://openrouter.ai/docs","2025-04-14","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"AlfredPros: CodeLLaMa 7B Instruct Solidity","AlfredPros:-CodeLLaMa-Solidity","Unknown","7B","https://openrouter.ai/docs","2025-04-14","freemium","Unknown",Conversational,Code Generation,"2025-07-11T06:25:48.821Z"
"NVIDIA: Llama 3.3 Nemotron Super 49B v1 (free)","NVIDIA:-Llama-3.3","Unknown","49B","https://openrouter.ai/docs","2025-04-08","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"NVIDIA: Llama 3.3 Nemotron Super 49B v1","NVIDIA:-Llama-3.3","Unknown","49B","https://openrouter.ai/docs","2025-04-08","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"NVIDIA: Llama 3.1 Nemotron Ultra 253B v1 (free)","NVIDIA:-Llama-3.1","Unknown","253B","https://openrouter.ai/docs","2025-04-08","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"NVIDIA: Llama 3.1 Nemotron Ultra 253B v1","NVIDIA:-Llama-3.1","Unknown","253B","https://openrouter.ai/docs","2025-04-08","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"Meta: Llama 4 Maverick (free)","Meta:-Llama-Maverick","Unknown","Unknown","https://openrouter.ai/docs","2025-04-05","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.821Z"
"Meta: Llama 4 Maverick","Meta:-Llama-Maverick","Unknown","Unknown","https://openrouter.ai/docs","2025-04-05","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"Meta: Llama 4 Scout (free)","Meta:-Llama-Scout","Unknown","Unknown","https://openrouter.ai/docs","2025-04-05","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"Meta: Llama 4 Scout","Meta:-Llama-Scout","Unknown","Unknown","https://openrouter.ai/docs","2025-04-05","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"Mistral: Mistral Small 3.1 24B (free)","Mistral:-Mistral-Small","Unknown","24B","https://openrouter.ai/docs","2025-03-17","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"Mistral: Mistral Small 3.1 24B","Mistral:-Mistral-Small","Unknown","24B","https://openrouter.ai/docs","2025-03-17","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"OpenAI: GPT-4o-mini Search Preview","OpenAI:-GPT-mini","Unknown","Unknown","https://openrouter.ai/docs","2025-03-12","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"OpenAI: GPT-4o Search Preview","OpenAI:-GPT-Search","Unknown","Unknown","https://openrouter.ai/docs","2025-03-12","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"Nous: DeepHermes 3 Llama 3 8B Preview (free)","Nous:-DeepHermes-Llama","Unknown","8B","https://openrouter.ai/docs","2025-02-28","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"OpenAI: GPT-4.5 (Preview)","OpenAI:-GPT-4.5","Unknown","Unknown","https://openrouter.ai/docs","2025-02-27","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"Anthropic: Claude 3.7 Sonnet","Anthropic:-Claude-3.7","Unknown","Unknown","https://openrouter.ai/docs","2025-02-24","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"Anthropic: Claude 3.7 Sonnet (thinking)","Anthropic:-Claude-3.7","Unknown","Unknown","https://openrouter.ai/docs","2025-02-24","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"Anthropic: Claude 3.7 Sonnet (self-moderated)","Anthropic:-Claude-3.7","Unknown","Unknown","https://openrouter.ai/docs","2025-02-24","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"Mistral: Saba","Mistral:-Saba","Unknown","Unknown","https://openrouter.ai/docs","2025-02-17","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"Dolphin3.0 R1 Mistral 24B (free)","Dolphin3.0-Mistral-24B","Unknown","24B","https://openrouter.ai/docs","2025-02-13","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"Dolphin3.0 Mistral 24B (free)","Dolphin3.0-Mistral-24B","Unknown","24B","https://openrouter.ai/docs","2025-02-13","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"Llama Guard 3 8B","Llama-Guard","Unknown","8B","https://openrouter.ai/docs","2025-02-12","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"DeepSeek: R1 Distill Llama 8B","DeepSeek:-Distill-Llama","Unknown","8B","https://openrouter.ai/docs","2025-02-07","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"Mistral: Mistral Small 3 (free)","Mistral:-Mistral-Small","Unknown","Unknown","https://openrouter.ai/docs","2025-01-30","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"Mistral: Mistral Small 3","Mistral:-Mistral-Small","Unknown","Unknown","https://openrouter.ai/docs","2025-01-30","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"DeepSeek: R1 Distill Llama 70B (free)","DeepSeek:-Distill-Llama","Unknown","70B","https://openrouter.ai/docs","2025-01-23","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"DeepSeek: R1 Distill Llama 70B","DeepSeek:-Distill-Llama","Unknown","70B","https://openrouter.ai/docs","2025-01-23","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"Mistral: Codestral 2501","Mistral:-Codestral-2501","Unknown","Unknown","https://openrouter.ai/docs","2025-01-14","freemium","Unknown",Code Generation,"2025-07-11T06:25:48.822Z"
"Sao10K: Llama 3.3 Euryale 70B","Sao10K:-Llama-3.3","Unknown","70B","https://openrouter.ai/docs","2024-12-18","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"EVA Llama 3.33 70B","EVA-Llama-3.33","Unknown","70B","https://openrouter.ai/docs","2024-12-16","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"Meta: Llama 3.3 70B Instruct (free)","Meta:-Llama-3.3","Unknown","70B","https://openrouter.ai/docs","2024-12-06","freemium","Unknown",Conversational,"2025-07-11T06:25:48.822Z"
"Meta: Llama 3.3 70B Instruct","Meta:-Llama-3.3","Unknown","70B","https://openrouter.ai/docs","2024-12-06","freemium","Unknown",Conversational,"2025-07-11T06:25:48.822Z"
"OpenAI: GPT-4o (2024-11-20)","OpenAI:-GPT-(2024","Unknown","Unknown","https://openrouter.ai/docs","2024-11-20","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.822Z"
"Mistral Large 2411","Mistral-Large-2411","Unknown","Unknown","https://openrouter.ai/docs","2024-11-19","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.823Z"
"Mistral Large 2407","Mistral-Large-2407","Unknown","Unknown","https://openrouter.ai/docs","2024-11-19","freemium","Unknown",Text Generation,"2025-07-11T06:25:48.823Z"
