name,shortName,country,modelSize,releaseDate,accessType,license,capabilities,validation_notes
"Llama 2","Llama-2","US","7B","2023-07-18","Open Source","Custom","RAG","GitHub repository verified"
"GPT4All","GPT4All","US","7B","2023-03-27","Open Source","MIT","Text Generation","GitHub repository verified; License confirmed"
"Vicuna","Vicuna","US","7B","2023-03-30","Open Source","Apache 2.0","Conversational","GitHub repository verified; License confirmed"
"Alpaca","Alpaca","US","7B","2023-03-13","Open Source","Apache 2.0","Text Generation","GitHub repository verified; License confirmed"
"Code Llama","Code-Llama","US","7B","2023-08-24","Open Source","Custom","Code Generation & RAG","GitHub repository verified"
"ai-etf-signals","etf-signals","Unknown","Unknown","2025-06-17","Open Source","MIT License","Signal Generation","Country of origin unclear; Model size not specified; GitHub repository verified"
"kalavai-client","kalavai-client","Unknown","Unknown","2023-08-24","Open Source","Apache License 2.0","Text Generation","Country of origin unclear; Model size not specified; GitHub repository verified"
"WebAI-to-API","WebAI-API","Unknown","Unknown","2023-07-22","Open Source","MIT License","Text Generation","Country of origin unclear; Model size not specified; GitHub repository verified"
"CryptoMind","CryptoMind","Unknown","Unknown","2025-03-30","Open Source","GNU General Public License v3.0","Text Generation","Country of origin unclear; Model size not specified; GitHub repository verified"
"AI-TUI","TUI","Unknown","Unknown","2025-04-19","Open Source","MIT License","Text Generation","Country of origin unclear; Model size not specified; GitHub repository verified"
"code-collector","code-collector","Unknown","Unknown","2025-04-14","Open Source","Unknown","Code Generation","License unverified; Country of origin unclear; Model size not specified; GitHub repository verified"
"DeepSeek-R1-chatbot","DeepSeek-chatbot","China","Unknown","2025-02-08","Open Source","MIT License","Conversational","Model size not specified; GitHub repository verified"
"Open-Source-LLM-on-qualitative-and-quantitative-data","Open-Source-qualitative","Unknown","Unknown","2024-09-21","Open Source","Unknown","Text Generation","License unverified; Country of origin unclear; Model size not specified; GitHub repository verified"
"tlg-chatbot-render","tlg-chatbot-render","South Korea","Unknown","2023-03-10","Open Source","MIT License","Conversational","Model size not specified; GitHub repository verified"
"LipiPala","LipiPala","Unknown","Unknown","2025-02-28","Open Source","MIT License","Text Generation","Country of origin unclear; Model size not specified; GitHub repository verified"
"reflectlm","reflectlm","Unknown","Unknown","2025-05-23","Open Source","Mozilla Public License 2.0","Text Generation","Country of origin unclear; Model size not specified; GitHub repository verified"
"DialogStudio","DialogStudio","Unknown","Unknown","2023-06-06","Open Source","Apache License 2.0","Text Generation","Country of origin unclear; Model size not specified; GitHub repository verified"
"likhon-3.5","likhon-3.5","Unknown","Unknown","2024-07-10","Open Source","MIT License","Text Generation","Country of origin unclear; Model size not specified; GitHub repository verified"
"DiscordLLM","DiscordLLM","Unknown","Unknown","2024-06-23","Open Source","MIT License","Text Generation","Country of origin unclear; Model size not specified; GitHub repository verified"
"chatgpt-prompt-splitter","chatgpt-prompt-splitter","US","Unknown","2023-03-16","Open Source","MIT License","Conversational","Model size not specified; GitHub repository verified"
"ChatGPT-Mobile","ChatGPT-Mobile","US","Unknown","2023-05-17","Open Source","Unknown","Conversational","License unverified; Model size not specified; GitHub repository verified"
"LLaMa-Language-Model-Repository","LLaMa-Language-Repository","US","Unknown","2023-03-15","Open Source","Unknown","Text Generation","License unverified; Model size not specified; GitHub repository verified"
"torchKbert","torchKbert","US","Unknown","2021-03-03","Open Source","Apache License 2.0","Text Generation","Model size not specified; GitHub repository verified"
"skyxyz/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-purring_humming_chicken","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Conversational","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"MaxVell337/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-flapping_foraging_walrus","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Conversational & RAG","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"MisDrifter/model3b_bon_v3","model3b-bon","US","3B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; Country of origin unclear; HuggingFace model verified"
"p2g6gensyn/Qwen2.5-0.5B-Gensyn-Swarm-dappled_yapping_clam","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"ethduke/Qwen3-0.6B-Gensyn-Swarm-padded_iridescent_anaconda","Qwen3-0.6B-Gensyn","China","0.6B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"leonmullerrr/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-coiled_wild_mouse","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Conversational","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"namfuentesganti/Qwen3-0.6B-Gensyn-Swarm-silky_lightfooted_ape","Qwen3-0.6B-Gensyn","China","0.6B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"Blancy/Qwen3-1.7B-Open-R1-Code-GRPO","Qwen3-1.7B-Open","China","1.7B","2025-07-12","Open Source","Unknown","Code Generation","License unverified; HuggingFace model verified"
"aramzz/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-wild_stalking_lemur","Qwen2.5-0.5B-Gensyn","China","0.5B","2025-07-12","Open Source","Unknown","Conversational","License unverified; HuggingFace model verified; Derived/fine-tuned model"
"alsandeer33/Qwen3-0.6B-Gensyn-Swarm-flightless_arctic_kangaroo","Qwen3-0.6B-Gensyn","China","0.6B","2025-07-12","Open Source","Unknown","Text Generation","License unverified; HuggingFace model verified; Derived/fine-tuned model"
